,Cement Amount  (kg/m³),Cement type	,Cement Grade (Mpa),Silica Fume (kg/m³),Flayash Amount   (kg/m³),Fly Ash Type ,Limestone Powder  (kg/m3),Quartzpowder (kg/m3),Glass powder (kg/m3),Rice husk ash (kg/m3),Metakaolin (kg/m³),GGBFS  (kg/m³),Slag Amount   (kg/m³),Type of Slag ,Nano-CaCO3 (kg/m3),Nano-Al2O3 (kg/m3),Nano-TiO2 (kg/m3),Nano Silica (kg/m3),Filler (kg/m³),Type of Filler ,Amount  (kg/m³),Sand Type,Max Size (mm),Type of Fiber ,Amount / Quantity of Fiber ,Length (mm),Diameter (mm),Tensile Strength (MPa),"Nominal Young’s modulus, Gpa",Type of Fiber ,Amount / Quantity of Fiber ,Length (mm),Diameter (mm),Tensile Strength (MPa),"Nominal Young’s modulus, Gpa",Amount  (kg/m³),Type of Superplasticizer,Amount  (kg/m³),,,,,,,,Specimen ,Testing Standard ,1-day ,3-Day,7-Day,14-Day,21 days ,28-Day,56-Day,90-Day,Testing Standard ,Elastic Modulus (Gpa),Testing Standards ,Split Tensile Strength (Mpa),first-cracking strength (MPa),Direct Tensile Strength (Mpa),Peak tensile strain (%),Tensile Elastic Modulus (GPa),Strain capacity (%) ,Specimens ,Testing Standard ,LOP (Mpa), MOR (MPa),Peak Strength (MPa),"Residual 
Strength (f600)
 (MPa)","Residual 
Strength (f150)
 (MPa)","Toughness
 (J)",Testing Standards ,Air Content %,Air Void %,Porosity ,Testing Standards ,Water absorption (%),Testing Standards ,28-day Shrinkage (µstrain),56-day Shrinkage (µstrain),Testing Standards ,Cycles ,Testing Standards ,Total Charge Passed (Coulombs),Testing Standards ,Surface Resistivity (k?-mm),,,,
RBP? 30CEM+100SF,700.00, Portland cement,52.50,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,550.00,Recycled Brick Powder ,1250.00,Silica sand,0.30 ,Straight Steel Fibers ,156.00,12.00,0.200,,,,,,,,,225.00,"high-performance polycarboxylate 
superplasticizer",24.80,Standard Curing ,20.00,50.00,,,,,70.7 x 70.7 x 70.7,GB/T 50081–2019,,79.00,,,,137.00,,,,,,,,,,,,40 x 40 x 160 ,GB/T 50081–2019,,,31.00,,,,,,,3.90,,,,,,,,,,,,,,,
RBP? 70CEM+30SF,300.00, Portland cement,52.50,175.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,775.00,Recycled Brick Powder ,1250.00,Silica sand,0.30 ,Straight Steel Fibers ,156.00,12.00,0.200,,,,,,,,,225.00,"high-performance polycarboxylate 
superplasticizer",24.80,Standard Curing ,20.00,50.00,,,,,70.7 x 70.7 x 70.7,GB/T 50081–2019,,71.00,,,,130.00,,,,,,,,,,,,40 x 40 x 160 ,GB/T 50081–2019,,,34.00,,,,,,,4.95,,,,,,,,,,,,,,,
RBP? 70CEM+50SF,300.00, Portland cement,52.50,125.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,825.00,Recycled Brick Powder ,1250.00,Silica sand,0.30 ,Straight Steel Fibers ,156.00,12.00,0.200,,,,,,,,,225.00,"high-performance polycarboxylate 
superplasticizer",24.80,Standard Curing ,20.00,50.00,,,,,70.7 x 70.7 x 70.7,GB/T 50081–2019,,69.50,,,,120.50,,,,,,,,,,,,40 x 40 x 160 ,GB/T 50081–2019,,,33.00,,,,,,,5.40,,,,,,,,,,,,,,,
RBP? 70CEM+70SF,300.00, Portland cement,52.50,75.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,875.00,Recycled Brick Powder ,1250.00,Silica sand,0.30 ,Straight Steel Fibers ,156.00,12.00,0.200,,,,,,,,,225.00,"high-performance polycarboxylate 
superplasticizer",24.80,Standard Curing ,20.00,50.00,,,,,70.7 x 70.7 x 70.7,GB/T 50081–2019,,54.00,,,,108.00,,,,,,,,,,,,40 x 40 x 160 ,GB/T 50081–2019,,,31.00,,,,,,,5.80,,,,,,,,,,,,,,,
RBP? 70CEM+100SF,300.00, Portland cement,52.50,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,950.00,Recycled Brick Powder ,1250.00,Silica sand,0.30 ,Straight Steel Fibers ,156.00,12.00,0.200,,,,,,,,,225.00,"high-performance polycarboxylate 
superplasticizer",24.80,Standard Curing ,20.00,50.00,,,,,70.7 x 70.7 x 70.7,GB/T 50081–2019,,47.00,,,,103.00,,,,,,,,,,,,40 x 40 x 160 ,GB/T 50081–2019,,,29.00,,,,,,,6.60,,,,,,,,,,,,,,,
Reference,807.00,High sulfate-resistant cement (Type HS cement),,225.00,0.00,,0.00,243.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,,972.00,Quartz sand,0.60,,,,,,,,,,,,,195.00,polycarboxylate (PCE)-based high-range water-reducing admixture (HRWRA),13.00,Standard Curing ,20.00,100.00,,ASTM C 1437,,190.00,50 x 50 x 50,ASTM C 109,55.00,,117.00,,,169.00,176.00,180.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Canada,"Development of ultra-high-performance concrete using glass powder – Towards ecofriendly concrete

https://doi.org/10.1016/j.conbuildmat.2016.08.073",2016,Ref-4-Research
90C/ 10GP,724.00,High sulfate-resistant cement (Type HS cement),,224.00,0.00,,0.00,241.00,81.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,,966.00,Quartz sand,0.60,,,,,,,,,,,,,195.00,polycarboxylate (PCE)-based high-range water-reducing admixture (HRWRA),13.00,Standard Curing ,20.00,100.00,,ASTM C 1437,,195.00,50 x 50 x 50,ASTM C 109,52.50,,109.00,,,168.00,186.00,198.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80C/20GP,639.00,High sulfate-resistant cement (Type HS cement),,222.00,0.00,,0.00,240.00,160.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,,960.00,Quartz sand,0.60,,,,,,,,,,,,,193.00,polycarboxylate (PCE)-based high-range water-reducing admixture (HRWRA),13.00,Standard Curing ,20.00,100.00,,ASTM C 1437,,205.00,50 x 50 x 50,ASTM C 109,49.50,,105.00,,,173.00,189.00,202.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70C/30GP,556.00,High sulfate-resistant cement (Type HS cement),,221.00,0.00,,0.00,238.00,238.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,,953.00,Quartz sand,0.60,,,,,,,,,,,,,192.00,polycarboxylate (PCE)-based high-range water-reducing admixture (HRWRA),13.00,Standard Curing ,20.00,100.00,,ASTM C 1437,,210.00,50 x 50 x 50,ASTM C 109,37.50,,98.00,,,165.00,180.00,199.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60C/40GP,473.00,High sulfate-resistant cement (Type HS cement),,219.00,0.00,,0.00,237.00,316.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,,947.00,Quartz sand,0.60,,,,,,,,,,,,,191.00,polycarboxylate (PCE)-based high-range water-reducing admixture (HRWRA),13.00,Standard Curing ,20.00,100.00,,ASTM C 1437,,215.00,50 x 50 x 50,ASTM C 109,32.00,,96.00,,,157.00,184.00,195.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50C/50GP,392.00,High sulfate-resistant cement (Type HS cement),,217.00,0.00,,0.00,235.00,392.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,,941.00,Quartz sand,0.60,,,,,,,,,,,,,190.00,polycarboxylate (PCE)-based high-range water-reducing admixture (HRWRA),13.00,Standard Curing ,20.00,100.00,,ASTM C 1437,,220.00,50 x 50 x 50,ASTM C 109,28.00,,92.00,,,150.00,156.00,190.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50QP/50GP,807.00,High sulfate-resistant cement (Type HS cement),,224.00,0.00,,0.00,121.00,121.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,,967.00,Quartz sand,0.60,,,,,,,,,,,,,195.00,polycarboxylate (PCE)-based high-range water-reducing admixture (HRWRA),13.00,Standard Curing ,20.00,100.00,,ASTM C 1437,,200.00,50 x 50 x 50,ASTM C 109,54.00,,125.00,,,172.00,193.00,200.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0QP/100GP,807.00,High sulfate-resistant cement (Type HS cement),,224.00,0.00,,0.00,0.00,242.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,,967.00,Quartz sand,0.60,,,,,,,,,,,,,195.00,polycarboxylate (PCE)-based high-range water-reducing admixture (HRWRA),13.00,Standard Curing ,20.00,100.00,,ASTM C 1437,,210.00,50 x 50 x 50,ASTM C 109,59.00,,107.00,,,168.00,197.00,203.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80C20GP/0QP100GP,636.00,High sulfate-resistant cement (Type HS cement),,221.00,0.00,,0.00,0.00,398.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,,955.00,Quartz sand,0.60,,,,,,,,,,,,,193.00,polycarboxylate (PCE)-based high-range water-reducing admixture (HRWRA),13.00,Standard Curing ,20.00,100.00,,ASTM C 1437,,220.00,50 x 50 x 50,ASTM C 109,52.00,,123.00,,,168.00,181.00,190.00,ASTM C 469,55.00,,,,,,,,100 x 100 x 400,ASTM C 1018,,,27.00,,,,,,,,,,,,,,,,,,,,,,
80C20GP/0QP100GP-F,623.00,High sulfate-resistant cement (Type HS cement),,216.00,0.00,,0.00,0.00,390.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,,935.00,Quartz sand,0.60,Straight Steel Fibers ,158.00,13.00,0.200,,,,,,,,,188.00,polycarboxylate (PCE)-based high-range water-reducing admixture (HRWRA),13.00,Standard Curing ,20.00,100.00,,ASTM C 1437,,217.00,50 x 50 x 50,ASTM C 109,53.00,,124.00,,,172.00,185.00,192.00,ASTM C 469,55.00,,,,,,,,100 x 100 x 400,ASTM C 1018,,,29.00,,,,,,,,,,,,,,,,,,,,,,
Reference,807.00,High sulfate-resistant cement (Type HS cement),,225.00,0.00,,0.00,243.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,,972.00,Quartz sand,0.60,,,,,,,,,,,,,195.00,polycarboxylate (PCE)-based high-range water-reducing admixture (HRWRA),13.00, hot curing (HC),90.00,100.00,,,,,50 x 50 x 50,ASTM C 109,,,,,,205.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90C/ 10GP,724.00,High sulfate-resistant cement (Type HS cement),,224.00,0.00,,0.00,241.00,81.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,,966.00,Quartz sand,0.60,,,,,,,,,,,,,195.00,polycarboxylate (PCE)-based high-range water-reducing admixture (HRWRA),13.00, hot curing (HC),90.00,100.00,,,,,50 x 50 x 50,ASTM C 109,,,,,,210.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80C/20GP,639.00,High sulfate-resistant cement (Type HS cement),,222.00,0.00,,0.00,240.00,160.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,,960.00,Quartz sand,0.60,,,,,,,,,,,,,193.00,polycarboxylate (PCE)-based high-range water-reducing admixture (HRWRA),13.00, hot curing (HC),90.00,100.00,,,,,50 x 50 x 50,ASTM C 109,,,,,,212.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70C/30GP,556.00,High sulfate-resistant cement (Type HS cement),,221.00,0.00,,0.00,238.00,238.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,,953.00,Quartz sand,0.60,,,,,,,,,,,,,192.00,polycarboxylate (PCE)-based high-range water-reducing admixture (HRWRA),13.00, hot curing (HC),90.00,100.00,,,,,50 x 50 x 50,ASTM C 109,,,,,,197.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60C/40GP,473.00,High sulfate-resistant cement (Type HS cement),,219.00,0.00,,0.00,237.00,316.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,,947.00,Quartz sand,0.60,,,,,,,,,,,,,191.00,polycarboxylate (PCE)-based high-range water-reducing admixture (HRWRA),13.00, hot curing (HC),90.00,100.00,,,,,50 x 50 x 50,ASTM C 109,,,,,,195.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50C/50GP,392.00,High sulfate-resistant cement (Type HS cement),,217.00,0.00,,0.00,235.00,392.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,,941.00,Quartz sand,0.60,,,,,,,,,,,,,190.00,polycarboxylate (PCE)-based high-range water-reducing admixture (HRWRA),13.00, hot curing (HC),90.00,100.00,,,,,50 x 50 x 50,ASTM C 109,,,,,,190.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50QP/50GP,807.00,High sulfate-resistant cement (Type HS cement),,224.00,0.00,,0.00,121.00,121.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,,967.00,Quartz sand,0.60,,,,,,,,,,,,,195.00,polycarboxylate (PCE)-based high-range water-reducing admixture (HRWRA),13.00, hot curing (HC),90.00,100.00,,,,,50 x 50 x 50,ASTM C 109,,,,,,222.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0QP/100GP,807.00,High sulfate-resistant cement (Type HS cement),,224.00,0.00,,0.00,0.00,242.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,,967.00,Quartz sand,0.60,,,,,,,,,,,,,195.00,polycarboxylate (PCE)-based high-range water-reducing admixture (HRWRA),13.00, hot curing (HC),90.00,100.00,,,,,50 x 50 x 50,ASTM C 109,,,,,,234.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80C20GP/0QP100GP,636.00,High sulfate-resistant cement (Type HS cement),,221.00,0.00,,0.00,0.00,398.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,,955.00,Quartz sand,0.60,,,,,,,,,,,,,193.00,polycarboxylate (PCE)-based high-range water-reducing admixture (HRWRA),13.00, hot curing (HC),90.00,100.00,,,,,50 x 50 x 50,ASTM C 109,,,,,,212.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80C20GP/0QP100GP-F,623.00,High sulfate-resistant cement (Type HS cement),,216.00,0.00,,0.00,0.00,390.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,,935.00,Quartz sand,0.60,Straight Steel Fibers ,158.00,13.00,0.200,,,,,,,,,188.00,polycarboxylate (PCE)-based high-range water-reducing admixture (HRWRA),13.00, hot curing (HC),90.00,100.00,,,,,50 x 50 x 50,ASTM C 109,,,,,,220.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMWR,900.00,"Ordinary Portland cement
ASTM C150 type I",,220.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,,1005.00,Fine dune sand,0.60,Straight Steel Fibers ,157,12.70,0.150,2500.000,,,,,,,,162,polycarboxylic-based ether hyperplasticiser,40,Standard Curing ,22.00,,,ASTM C 1437,,230.00,40 x 40 x 160 ,,,,,,,161.00,,,,,,,,,,,,40 x 40 x 160 ,,,,31.00,,,,,,,,,,,,,,,,,,,Saudi Arabia,"Development of UHPC Mixtures Utilizing Naturaland Industrial Waste Materials as Partial Replacements ofSilica Fume and Sand

https://doi.org/10.1155/2014/713531",2014,Ref-5-Research
NP40RMS,900.00,"Ordinary Portland cement
ASTM C150 type I",,132.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,88.00,Natural Pozzolana,1030.00,Fine dune sand,0.60,Straight Steel Fibers ,157,12.70,0.150,2500.000,,,,,,,,162,polycarboxylic-based ether hyperplasticiser,40,Standard Curing ,22.00,,,ASTM C 1437,,225.00,40 x 40 x 160 ,,,,,,,147.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NP60RMS,900.00,"Ordinary Portland cement
ASTM C150 type I",,88.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,132.00,Natural Pozzolana,1042.00,Fine dune sand,0.60,Straight Steel Fibers ,157,12.70,0.150,2500.000,,,,,,,,162,polycarboxylic-based ether hyperplasticiser,40,Standard Curing ,22.00,,,ASTM C 1437,,195.00,40 x 40 x 160 ,,,,,,,154.00,,,,,,,,,,,,40 x 40 x 160 ,,,,29.00,,,,,,,,,,,,,,,,,,,,,,
NP80RMS,900.00,"Ordinary Portland cement
ASTM C150 type I",,44.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,176.00,Natural Pozzolana,1055.00,Fine dune sand,0.60,Straight Steel Fibers ,157,12.70,0.150,2500.000,,,,,,,,162,polycarboxylic-based ether hyperplasticiser,40,Standard Curing ,22.00,,,ASTM C 1437,,200.00,40 x 40 x 160 ,,,,,,,136.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FA40RMS,900.00,"Ordinary Portland cement
ASTM C150 type I",,132.00,88.00,	Class F,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,,1030.00,Fine dune sand,0.60,Straight Steel Fibers ,157,12.70,0.150,2500.000,,,,,,,,162,polycarboxylic-based ether hyperplasticiser,40,Standard Curing ,22.00,,,ASTM C 1437,,230.00,40 x 40 x 160 ,,,,,,,150.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FA60RMS,900.00,"Ordinary Portland cement
ASTM C150 type I",,88.00,132.00,	Class F,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,,1042.00,Fine dune sand,0.60,Straight Steel Fibers ,157,12.70,0.150,2500.000,,,,,,,,162,polycarboxylic-based ether hyperplasticiser,40,Standard Curing ,22.00,,,ASTM C 1437,,210.00,40 x 40 x 160 ,,,,,,,158.00,,,,,,,,,,,,40 x 40 x 160 ,,,,32.00,,,,,,,,,,,,,,,,,,,,,,
FA80RMS,900.00,"Ordinary Portland cement
ASTM C150 type I",,44.00,176.00,	Class F,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,,1055.00,Fine dune sand,0.60,Straight Steel Fibers ,157,12.70,0.150,2500.000,,,,,,,,162,polycarboxylic-based ether hyperplasticiser,40,Standard Curing ,22.00,,,ASTM C 1437,,210.00,40 x 40 x 160 ,,,,,,,143.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LSP05RMS,900.00,"Ordinary Portland cement
ASTM C150 type I",,209.00,0.00,,11.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,,1000.00,Fine dune sand,0.60,Straight Steel Fibers ,157,12.70,0.150,2500.000,,,,,,,,162,polycarboxylic-based ether hyperplasticiser,40,Standard Curing ,22.00,,,ASTM C 1437,,215.00,40 x 40 x 160 ,,,,,,,159.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LSP10RMS,900.00,"Ordinary Portland cement
ASTM C150 type I",,198.00,0.00,,22.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,,990.00,Fine dune sand,0.60,Straight Steel Fibers ,157,12.70,0.150,2500.000,,,,,,,,162,polycarboxylic-based ether hyperplasticiser,40,Standard Curing ,22.00,,,ASTM C 1437,,220.00,40 x 40 x 160 ,,,,,,,146.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LSP20RMS,900.00,"Ordinary Portland cement
ASTM C150 type I",,176.00,0.00,,44.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,,985.00,Fine dune sand,0.60,Straight Steel Fibers ,157,12.70,0.150,2500.000,,,,,,,,162,polycarboxylic-based ether hyperplasticiser,40,Standard Curing ,22.00,,,ASTM C 1437,,255.00,40 x 40 x 160 ,,,,,,,152.00,,,,,,,,,,,,40 x 40 x 160 ,,,,31.00,,,,,,,,,,,,,,,,,,,,,,
CKD05RMS,900.00,"Ordinary Portland cement
ASTM C150 type I",,209.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,11.00,Cement kiln dust,1008.00,Fine dune sand,0.60,Straight Steel Fibers ,157,12.70,0.150,2500.000,,,,,,,,162,polycarboxylic-based ether hyperplasticiser,40,Standard Curing ,22.00,,,ASTM C 1437,,180.00,40 x 40 x 160 ,,,,,,,144.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CKD10RMS,900.00,"Ordinary Portland cement
ASTM C150 type I",,198.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,22.00,Cement kiln dust,1000.00,Fine dune sand,0.60,Straight Steel Fibers ,157,12.70,0.150,2500.000,,,,,,,,162,polycarboxylic-based ether hyperplasticiser,40,Standard Curing ,22.00,,,ASTM C 1437,,230.00,40 x 40 x 160 ,,,,,,,142.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CKD20RMS,900.00,"Ordinary Portland cement
ASTM C150 type I",,176.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,44.00,Cement kiln dust,1015.00,Fine dune sand,0.60,Straight Steel Fibers ,157,12.70,0.150,2500.000,,,,,,,,162,polycarboxylic-based ether hyperplasticiser,40,Standard Curing ,22.00,,,ASTM C 1437,,220.00,40 x 40 x 160 ,,,,,,,152.00,,,,,,,,,,,,40 x 40 x 160 ,,,,25.00,,,,,,,,,,,,,,,,,,,,,,
PSS05RMS,900.00,"Ordinary Portland cement
ASTM C150 type I",,209.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,11.00,Steel Slag ,0.00,0.00,0.00,0.00,0.00,,1010.00,Fine dune sand,0.60,Straight Steel Fibers ,157,12.70,0.150,2500.000,,,,,,,,162,polycarboxylic-based ether hyperplasticiser,40,Standard Curing ,22.00,,,ASTM C 1437,,200.00,40 x 40 x 160 ,,,,,,,134.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PSS10RMS,900.00,"Ordinary Portland cement
ASTM C150 type I",,198.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,22.00,Steel Slag ,0.00,0.00,0.00,0.00,0.00,,1000.00,Fine dune sand,0.60,Straight Steel Fibers ,157,12.70,0.150,2500.000,,,,,,,,162,polycarboxylic-based ether hyperplasticiser,40,Standard Curing ,22.00,,,ASTM C 1437,,215.00,40 x 40 x 160 ,,,,,,,140.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PSS20RMS,900.00,"Ordinary Portland cement
ASTM C150 type I",,176.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,44.00,Steel Slag ,0.00,0.00,0.00,0.00,0.00,,1025.00,Fine dune sand,0.60,Straight Steel Fibers ,157,12.70,0.150,2500.000,,,,,,,,162,polycarboxylic-based ether hyperplasticiser,40,Standard Curing ,22.00,,,ASTM C 1437,,225.00,40 x 40 x 160 ,,,,,,,161.00,,,,,,,,,,,,40 x 40 x 160 ,,,,25.00,,,,,,,,,,,,,,,,,,,,,,
LSP05RSAND,900.00,"Ordinary Portland cement
ASTM C150 type I",,220.00,0.00,,47.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,,931.00,Fine dune sand,0.60,Straight Steel Fibers ,157,12.70,0.150,2500.000,,,,,,,,162,polycarboxylic-based ether hyperplasticiser,40,Standard Curing ,22.00,,,ASTM C 1437,,220.00,40 x 40 x 160 ,,,,,,,125.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LSP10RSAND,900.00,"Ordinary Portland cement
ASTM C150 type I",,220.00,0.00,,87.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,,868.00,Fine dune sand,0.60,Straight Steel Fibers ,157,12.70,0.150,2500.000,,,,,,,,162,polycarboxylic-based ether hyperplasticiser,40,Standard Curing ,22.00,,,ASTM C 1437,,215.00,40 x 40 x 160 ,,,,,,,163.00,,,,,,,,,,,,40 x 40 x 160 ,,,,29.00,,,,,,,,,,,,,,,,,,,,,,
LSP20RSAND,900.00,"Ordinary Portland cement
ASTM C150 type I",,220.00,0.00,,153.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,,764.00,Fine dune sand,0.60,Straight Steel Fibers ,157,12.70,0.150,2500.000,,,,,,,,162,polycarboxylic-based ether hyperplasticiser,40,Standard Curing ,22.00,,,ASTM C 1437,,185.00,40 x 40 x 160 ,,,,,,,132.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CKD05RSAND,900.00,"Ordinary Portland cement
ASTM C150 type I",,220.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,48.00,Cement kiln dust,962.00,Fine dune sand,0.60,Straight Steel Fibers ,157,12.70,0.150,2500.000,,,,,,,,162,polycarboxylic-based ether hyperplasticiser,40,Standard Curing ,22.00,,,ASTM C 1437,,180.00,40 x 40 x 160 ,,,,,,,153.00,,,,,,,,,,,,40 x 40 x 160 ,,,,26.00,,,,,,,,,,,,,,,,,,,,,,
CKD10RSAND,900.00,"Ordinary Portland cement
ASTM C150 type I",,220.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,92.00,Cement kiln dust,922.00,Fine dune sand,0.60,Straight Steel Fibers ,157,12.70,0.150,2500.000,,,,,,,,162,polycarboxylic-based ether hyperplasticiser,40,Standard Curing ,22.00,,,ASTM C 1437,,200.00,40 x 40 x 160 ,,,,,,,135.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CKD20RSAND,900.00,"Ordinary Portland cement
ASTM C150 type I",,220.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,170.00,Cement kiln dust,851.00,Fine dune sand,0.60,Straight Steel Fibers ,157,12.70,0.150,2500.000,,,,,,,,162,polycarboxylic-based ether hyperplasticiser,40,Standard Curing ,22.00,,,ASTM C 1437,,150.00,40 x 40 x 160 ,,,,,,,100.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PSS05RSAND,900.00,"Ordinary Portland cement
ASTM C150 type I",,220.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,49.00,Steel Slag ,0.00,0.00,0.00,0.00,0.00,,972.00,Fine dune sand,0.60,Straight Steel Fibers ,157,12.70,0.150,2500.000,,,,,,,,162,polycarboxylic-based ether hyperplasticiser,40,Standard Curing ,22.00,,,ASTM C 1437,,210.00,40 x 40 x 160 ,,,,,,,161.00,,,,,,,,,,,,40 x 40 x 160 ,,,,24.00,,,,,,,,,,,,,,,,,,,,,,
