cement,cement_type,silica_fume,fly_ash,limestone_powder,quartz_powder,glass_powder,rice_husk_ash,metakaolin,ggbfs,slag,nano_caco3,nano_al2o3,nano_tio2,nano_sio2,filler,sand,sand_type,sand_max_size,water,sp_type,sp_amount,curing_method,curing_temp,cs_28d
623.0,HS_cement,216.0,0.0,0.0,0.0,390.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,935.0,Quartz Sand,0.6,188.0,PCE_HRWRA,13.0,Standard Curing,20.0,172.0
807.0,HS_cement,225.0,0.0,0.0,243.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,972.0,Quartz Sand,0.6,195.0,PCE_HRWRA,13.0,Heat Curing,90.0,205.0
724.0,HS_cement,224.0,0.0,0.0,241.0,81.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,966.0,Quartz Sand,0.6,195.0,PCE_HRWRA,13.0,Heat Curing,90.0,210.0
639.0,HS_cement,222.0,0.0,0.0,240.0,160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,960.0,Quartz Sand,0.6,193.0,PCE_HRWRA,13.0,Heat Curing,90.0,212.0
556.0,HS_cement,221.0,0.0,0.0,238.0,238.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,953.0,Quartz Sand,0.6,192.0,PCE_HRWRA,13.0,Heat Curing,90.0,197.0
473.0,HS_cement,219.0,0.0,0.0,237.0,316.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,947.0,Quartz Sand,0.6,191.0,PCE_HRWRA,13.0,Heat Curing,90.0,195.0
392.0,HS_cement,217.0,0.0,0.0,235.0,392.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,941.0,Quartz Sand,0.6,190.0,PCE_HRWRA,13.0,Heat Curing,90.0,190.0
807.0,HS_cement,224.0,0.0,0.0,121.0,121.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,967.0,Quartz Sand,0.6,195.0,PCE_HRWRA,13.0,Heat Curing,90.0,222.0
807.0,HS_cement,224.0,0.0,0.0,0.0,242.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,967.0,Quartz Sand,0.6,195.0,PCE_HRWRA,13.0,Heat Curing,90.0,234.0
636.0,HS_cement,221.0,0.0,0.0,0.0,398.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,955.0,Quartz Sand,0.6,193.0,PCE_HRWRA,13.0,Heat Curing,90.0,212.0
623.0,HS_cement,216.0,0.0,0.0,0.0,390.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,935.0,Quartz Sand,0.6,188.0,PCE_HRWRA,13.0,Heat Curing,90.0,220.0
900.0,OPC_I,220.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1005.0,Fine Dune Sand,0.6,162.0,PCE_HRWRA,40.0,Standard Curing,22.0,161.0
900.0,OPC_I,132.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.0,1030.0,Fine Dune Sand,0.6,162.0,PCE_HRWRA,40.0,Standard Curing,22.0,147.0
900.0,OPC_I,88.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,132.0,1042.0,Fine Dune Sand,0.6,162.0,PCE_HRWRA,40.0,Standard Curing,22.0,154.0
900.0,OPC_I,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,176.0,1055.0,Fine Dune Sand,0.6,162.0,PCE_HRWRA,40.0,Standard Curing,22.0,136.0
900.0,OPC_I,132.0,88.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1030.0,Fine Dune Sand,0.6,162.0,PCE_HRWRA,40.0,Standard Curing,22.0,150.0
900.0,OPC_I,88.0,132.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1042.0,Fine Dune Sand,0.6,162.0,PCE_HRWRA,40.0,Standard Curing,22.0,158.0
900.0,OPC_I,44.0,176.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1055.0,Fine Dune Sand,0.6,162.0,PCE_HRWRA,40.0,Standard Curing,22.0,143.0
